Metric,Node,Group,Average,Median,Std,IQR
Velocity,cheek_r,400,15.99,3.84,52.68,7.67
Velocity,cheek_r,402,14.35,3.84,45.76,5.55
Velocity,ear_l,199,5.05,3.76,16.73,5.31
Velocity,ear_l,274,25.31,3.91,85.52,7.67
Velocity,ear_l,400,20.55,3.78,69.46,5.62
Velocity,ear_l,402,22.1,3.87,76.5,7.6
Velocity,ear_r,199,4.32,3.72,14.16,3.99
Velocity,ear_r,274,11.78,3.93,40.72,5.52
Velocity,ear_r,400,14.71,3.83,43.86,7.46
Velocity,ear_r,402,18.56,3.88,50.21,7.68
Velocity,implant,199,3.68,3.75,8.67,4.0
Velocity,implant,274,9.32,3.97,22.68,7.8
Velocity,implant,400,14.43,3.94,34.49,8.75
Velocity,implant,402,11.23,3.95,27.22,7.93
Velocity,neck,199,5.05,3.8,15.81,5.35
Velocity,neck,274,12.49,3.94,41.52,7.71
Velocity,neck,400,17.62,3.9,54.17,7.95
Velocity,neck,402,19.36,3.96,53.86,8.71
Velocity,neck_l,199,5.18,3.72,19.86,5.2
Velocity,neck_l,274,9.95,3.83,39.97,5.47
Velocity,neck_l,400,14.28,3.68,54.29,5.48
Velocity,neck_l,402,16.45,3.79,60.34,5.69
Velocity,neck_r,199,3.54,0.15,16.21,3.87
Velocity,neck_r,274,28.74,3.69,123.07,5.37
Velocity,neck_r,400,20.65,3.48,96.3,5.34
Velocity,neck_r,402,16.49,3.61,56.22,5.34
Velocity,nose,199,4.56,0.14,22.85,3.9
Velocity,nose,274,10.21,3.75,45.14,5.36
Velocity,nose,400,13.54,3.73,60.08,5.51
Velocity,nose,402,11.68,3.76,48.66,5.42
Velocity,rear_m,199,5.4,0.12,23.83,3.91
Velocity,rear_m,274,7.89,3.49,31.13,5.2
Velocity,rear_m,400,7.33,0.2,29.69,4.04
Velocity,rear_m,402,9.58,3.73,33.36,5.43
Velocity,tail_base,199,3.22,0.06,15.79,3.81
Velocity,tail_base,274,4.87,0.11,22.75,3.89
Velocity,tail_base,400,4.3,0.07,24.3,3.83
Velocity,tail_base,402,8.96,0.15,39.82,3.94
Velocity,tail_end,199,4.97,0.02,31.54,3.63
Velocity,tail_end,274,14.65,0.03,79.75,3.77
Velocity,tail_end,400,10.26,0.03,58.34,3.84
Velocity,tail_end,402,16.74,0.05,83.75,3.92
Velocity,tail_mid,199,8.12,0.04,32.54,3.81
Velocity,tail_mid,274,15.5,0.06,59.9,3.92
Velocity,tail_mid,400,10.97,0.04,43.08,3.82
Velocity,tail_mid,402,15.28,0.13,53.39,5.31
